id,ip,country,port,root_folders,date_added
94,82.197.204.165,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:11"
95,94.210.216.18,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:11"
96,217.122.120.243,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:11"
97,80.56.140.51,NL,443,"Backups,Movies,TimeMachine","2014-04-25 00:41:11"
98,83.128.170.179,NL,443,"Afbeeldingen,Backups,Documents,DVD,Music,QuikTransfer,tv","2014-04-25 00:41:11"
99,31.151.98.218,NL,443,"Movies,Music,Pictures","2014-04-25 00:41:11"
100,62.45.221.12,NL,443,"Backups,Gedeelde boeken,Pictures","2014-04-25 00:41:11"
101,62.195.166.23,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:11"
102,84.24.158.86,NL,443,"Back,Backups,Bladmuziek,Boeken,E,E,Erik,Films,Fotos E,Fotos Erik & sannie,Geert,Lexi,Muziek,Sandra,Spellen,SYNCHREDIBLE","2014-04-25 00:41:11"
103,82.161.223.43,NL,443,QuikTransfer,"2014-04-25 00:41:11"
104,94.208.223.103,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:11"
105,62.238.193.34,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
106,84.106.220.50,NL,443,"MK fotoos,QuikTransfer","2014-04-25 00:41:11"
107,94.210.57.230,NL,443,"MacBook,TimeMachine","2014-04-25 00:41:11"
108,83.82.149.211,NL,443,QuikTransfer,"2014-04-25 00:41:11"
109,217.120.238.226,NL,443,"Documenten,Films ,Fotos,Muziek","2014-04-25 00:41:11"
110,195.169.188.248,NL,443,"AP one,AP2 opdracht cam+edit,Speelfilm3 middag,Speelfilm3 ochtend,stage AP3,TEST","2014-04-25 00:41:11"
111,188.142.96.229,NL,443,"Backups,Documents,Movies,Music,QuikTransfer,TimeMachine","2014-04-25 00:41:11"
112,217.120.221.73,NL,443,"Backups,Movies,Music,Pictures","2014-04-25 00:41:11"
113,84.27.54.46,NL,443,"Movies,Music,Torrents","2014-04-25 00:41:11"
114,88.159.113.124,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:11"
115,82.217.37.44,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:11"
116,82.75.201.203,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:11"
117,83.128.11.141,NL,443,"Opnames Camera","2014-04-25 00:41:11"
118,82.169.216.148,NL,443,"Opnames Camera","2014-04-25 00:41:11"
119,77.248.49.160,NL,443,public,"2014-04-25 00:41:11"
120,62.194.77.35,NL,443,"Angel,Documents,Movies,Music,Nitt,Pictures","2014-04-25 00:41:11"
121,217.122.86.30,NL,443,"Backup van BB,Backup van C User,Backup XP oud,Michiel,Movies","2014-04-25 00:41:11"
122,94.210.10.41,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
123,84.27.137.34,NL,443,"DataShare,MediaServer","2014-04-25 00:41:11"
124,77.249.100.63,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
125,212.120.104.86,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
126,84.30.231.133,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
127,82.73.59.184,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
128,84.31.111.92,NL,443,"Movies,Music,netgear,Pictures","2014-04-25 00:41:11"
129,82.75.160.161,NL,443,"Movies,Music,Pictures,Series","2014-04-25 00:41:11"
130,83.87.238.244,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:11"
131,83.83.126.110,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
132,84.28.166.179,NL,443,"Backups,Documents,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:12"
133,62.194.203.184,NL,443,"Backups,Documents,hetzuiden,Michelle,Movies,Music,Pictures,sanne","2014-04-25 00:41:12"
134,84.104.76.29,NL,443,"Bibliotheek,temp test","2014-04-25 00:41:12"
135,37.251.83.237,NL,443,"Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:12"
136,84.24.179.191,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
137,62.163.235.104,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
138,83.84.90.226,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
139,83.81.87.52,NL,443,"Afbeeldingen,Pictures","2014-04-25 00:41:12"
140,77.249.143.39,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
141,92.65.255.177,NL,443,"Backups,Maxibox,MaxiEvents,MaxiMovers","2014-04-25 00:41:12"
142,80.57.10.3,NL,443,"Dowloads,Movies,Music,TimeMachine,TV Shows","2014-04-25 00:41:12"
143,84.26.74.66,NL,443,"3D films,Backups,Documents,Jay en Mick,Movies,Music,Muziek DVDs,Pictures,QuikTransfer","2014-04-25 00:41:12"
144,82.72.168.109,NL,443,"Cees,Gerreke,QuikTransfer","2014-04-25 00:41:12"
145,217.121.246.59,NL,443,"Backups,Data MBLICT,Movies,Music,Pictures,Secure","2014-04-25 00:41:12"
146,217.123.155.247,NL,443,"Backups,Data_Algemeen,Films,Fotos,Francesco,Muziek,QuikTransfer,Test ALB,TimeMachine","2014-04-25 00:41:12"
147,94.211.10.238,NL,443,"Afbeeldingen,Back,Backups,Documenten,Documents,Media,QuikTransfer","2014-04-25 00:41:12"
148,94.211.52.80,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
149,84.105.36.89,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
150,5.104.124.196,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:12"
151,83.81.14.186,NL,443,"Movies,Music","2014-04-25 00:41:12"
152,217.122.194.158,NL,443,"MADT,Muziek,Video","2014-04-25 00:41:12"
153,62.45.209.79,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
154,83.87.68.49,NL,443,"Backups,Documents,Movies,Music,Pictures,Series","2014-04-25 00:41:12"
155,84.24.182.143,NL,443,"BACKUP,DOCS,DOWNLOAD,FILM,FOTO,MUZIEK,QuikTransfer","2014-04-25 00:41:12"
156,82.75.160.83,NL,443,"Backups,Documents,Films,Fotos,Games,Muziek,Timemachine","2014-04-25 00:41:12"
157,84.107.81.172,NL,443,"Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:12"
158,84.104.102.218,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
159,213.125.22.99,NL,443,Backups,"2014-04-25 00:41:12"
160,94.209.141.97,NL,443,"Backups,Documenten,Movies,Music,Pictures","2014-04-25 00:41:12"
161,217.121.241.226,NL,443,"Afbeeldingen,Backups,Documents,Downloads,Movie Editing,Muziek,TimeMachine","2014-04-25 00:41:12"
162,24.132.27.132,NL,443,"Backups,Documents,Movies,MP3,Music,Pictures,TM900,utorrent,vak films","2014-04-25 00:41:12"
163,84.29.36.169,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
164,217.122.50.71,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:12"
165,82.171.138.175,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:12"
166,94.214.72.199,NL,443,"Backups,Documents,Martijn,Music,Pictures,Sonja","2014-04-25 00:41:12"
167,83.80.152.64,NL,443,"Movies,Series","2014-04-25 00:41:12"
168,83.83.82.48,NL,443,"Backups,BC,Movies,Music,Mvmo,Pictures,Prive","2014-04-25 00:41:12"
169,178.85.5.197,NL,443,Music,"2014-04-25 00:41:12"
170,84.24.45.159,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
171,82.161.118.109,NL,443,"Movies,Pictures,Renovaid Share","2014-04-25 00:41:12"
172,85.150.213.201,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
173,94.210.157.219,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,series,stls_userdata,TimeMachine","2014-04-25 00:41:12"
174,94.212.6.130,NL,443,"Afbeeldingen,Documents,Muziek,Videos","2014-04-25 00:41:12"
175,83.80.196.125,NL,443,"Documents,Movies,Music,Pictures,torrents","2014-04-25 00:41:12"
176,88.159.81.103,NL,443,"Documents,Music,Pictures,zzBackups,zzDocuments,zzMovies,zzMusic,zzPictures","2014-04-25 00:41:12"
177,94.214.70.76,NL,443,"Backups,Documents,TimeMachine","2014-04-25 00:41:12"
178,95.97.189.193,NL,443,"iTunes Media","2014-04-25 00:41:12"
179,62.195.17.156,NL,443,"Camera,stls_userdata","2014-04-25 00:41:12"
180,212.64.60.10,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
181,217.123.113.63,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
182,82.217.29.210,NL,443,"Apps,Backups,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
183,84.30.200.166,NL,443,"Books,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
184,84.24.172.168,NL,443,"Documents,Movies,Music,Pictures,Software,TimeMachine","2014-04-25 00:41:12"
185,94.209.72.43,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
186,80.57.99.5,NL,443,"Backups,david,Documents,Movies,public,QuikTransfer,TimeMachine","2014-04-25 00:41:12"
187,83.86.183.173,NL,443,"Backups,Documents,Movies,Music","2014-04-25 00:41:12"
188,83.83.55.69,NL,443,"Documents,Download,Movies,Music,Pictures,XBMC","2014-04-25 00:41:12"
189,82.72.54.15,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
190,92.108.140.199,NL,443,"Backups,Documents,Pictures,QuikTransfer,Software","2014-04-25 00:41:12"
191,84.28.208.62,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:12"
192,84.24.78.178,NL,443,"Backups,Documents,E,Movies,Music,Pictures,Software,TimeMachine","2014-04-25 00:41:12"
193,84.106.2.148,NL,443,Movies,"2014-04-25 00:41:12"
194,213.93.175.42,NL,443,"Carport,Public","2014-04-25 00:41:12"
195,213.126.49.58,NL,443,"Backups,Documents,MLS,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
196,82.161.222.136,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
197,80.101.122.53,NL,443,"Archives,Backups,Documents,Games,Movies,Music,Pictures,QuikTransfer,TimeMachine,USB_WDC_WD15_EARS","2014-04-25 00:41:12"
198,212.120.97.21,NL,443,"Films,Fitness,Music,Pictures,QuikTransfer,Series","2014-04-25 00:41:12"
199,82.171.32.8,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine,Torrent","2014-04-25 00:41:12"
200,85.151.173.215,NL,443,"Backups,Documents,Films,Muziek,Series,TimeMachine","2014-04-25 00:41:12"
201,84.27.235.228,NL,443,Music,"2014-04-25 00:41:12"
202,82.74.148.28,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
203,89.99.48.231,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
204,88.159.242.89,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
205,92.109.189.219,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
206,83.83.29.64,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
207,83.80.195.228,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,Series","2014-04-25 00:41:12"
208,94.229.63.13,NL,443,"Backups,Documents,ftp,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:12"
209,84.24.75.192,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
210,141.105.10.243,NL,443,"Auto,Dokumenten,Films,Foto,Install Prog,Muziek,QuikTransfer,Websites","2014-04-25 00:41:12"
211,82.74.136.78,NL,443,"Backups,Movies,Music,QuikTransfer","2014-04-25 00:41:12"
212,84.31.134.49,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
213,213.127.209.129,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:12"
214,94.215.52.14,NL,443,"Backups,Movies,Music,TimeMachine","2014-04-25 00:41:12"
215,84.104.186.21,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
216,84.39.1.45,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:12"
217,80.101.139.243,NL,443,Backups,"2014-04-25 00:41:12"
218,82.168.65.229,NL,443,"FLIP,Movies,Music,Pictures,Torrentz","2014-04-25 00:41:12"
219,83.80.195.69,NL,443,QuikTransfer,"2014-04-25 00:41:13"
220,83.86.106.219,NL,443,"Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
221,85.150.211.214,NL,443,"FTP,Movie,Music,Pictures","2014-04-25 00:41:13"
222,89.99.167.210,NL,443,"Backups,diversen,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:13"
223,88.159.239.180,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:13"
224,84.29.44.128,NL,443,"Administratie,Learning,Movies,Series,Software,TrueCrypt","2014-04-25 00:41:13"
225,213.93.101.224,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
226,84.104.165.190,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
227,83.84.21.112,NL,443,"Backups,Music,QuikTransfer","2014-04-25 00:41:13"
228,83.82.200.32,NL,443,Weblog,"2014-04-25 00:41:13"
229,80.101.228.113,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
230,92.110.107.216,NL,443,"Backups,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:13"
